"Week","investment","growth","derivatives","crisis","unemployment","banking","dow","economy","stocks","economics","hedge","invest","profit","leverage","risk","revenue","nasdaq","metals","politics","consumption","cash","dividend","finance","portfolio","conflict","oil","fed","gain","short","energy","credit","loss","earnings","stock","transaction","housing","nyse","success","bubble","trader","environment","greed","opportunity","inflation","money","sell","returns","society","chance","present","world","rich","war","return","markets","crash","freedom","office","headlines","house","culture","arts","buy","ore","food","bonds","tourism","holiday","health","train","fine","gold","marriage","water","cancer","car","debt","travel","happy","forex","restaurant","default","ring","lifestyle","labor","fond","religion","financial","rare","home","kitchen","garden","fun","movie","consume","gains"
2013-01-27,86,77,54,53,73,81,12,81,56,91,58,31,86,49,83,76,43,69,19,62,40,89,69,80,71,61,57,52,86,88,79,79,53,13,65,84,15,63,80,60,78,52,98,71,74,74,92,86,20,52,20,51,43,72,47,36,54,82,39,68,31,47,50,71,66,84,81,18,76,55,47,50,21,59,62,66,40,66,34,55,66,66,63,37,18,55,68,33,23,72,60,64,78,52,76,48
2013-02-03,82,77,59,53,64,82,10,79,52,87,58,33,84,46,82,88,42,72,17,65,39,79,69,76,72,58,53,48,69,88,76,79,45,14,65,80,15,64,78,58,79,61,92,72,70,72,83,87,20,54,20,48,46,75,43,24,55,80,39,66,33,45,49,73,65,84,85,19,73,53,49,49,22,57,61,66,39,68,34,55,63,66,67,37,17,51,68,29,16,70,62,64,84,50,61,46
2013-02-10,81,75,62,49,60,85,9,73,53,82,59,31,80,52,77,86,38,71,19,67,37,84,67,77,71,58,52,50,95,87,75,76,40,13,65,76,16,61,79,58,75,62,88,73,68,71,67,89,20,58,19,48,43,67,46,22,52,78,39,67,31,45,51,65,63,80,83,23,69,54,49,49,23,60,62,67,39,64,50,57,78,65,66,36,17,56,70,31,20,69,65,73,100,53,75,46
2013-02-17,83,76,58,59,60,84,9,77,50,81,67,33,82,49,83,84,35,71,18,66,37,76,65,74,65,63,51,50,59,84,75,82,35,14,61,81,14,63,76,60,75,73,81,75,69,73,63,88,19,49,20,50,44,67,45,29,52,77,38,71,31,47,51,72,65,77,85,24,72,55,47,52,23,63,64,69,39,68,34,58,69,66,64,39,17,55,72,26,26,70,63,70,85,53,75,52
2013-02-24,84,80,74,64,59,90,11,81,52,80,64,33,86,54,84,82,42,72,20,71,39,82,73,78,76,60,54,51,90,90,76,81,35,14,62,83,13,65,82,57,84,71,77,77,71,71,62,90,17,57,20,49,50,62,47,45,52,77,39,68,33,47,50,74,65,81,89,18,75,54,45,49,22,61,65,71,42,69,34,54,67,64,61,39,17,51,70,26,19,69,60,69,83,52,73,47
2013-03-03,84,79,56,56,59,88,15,79,56,82,61,34,83,56,82,76,44,68,19,72,35,86,70,82,76,61,51,50,71,87,76,82,30,16,65,83,13,61,89,59,83,65,74,76,70,70,57,87,18,53,21,51,50,58,46,23,53,75,40,68,32,48,49,77,67,78,97,20,71,56,47,50,22,62,69,69,38,73,34,63,66,66,61,36,18,54,68,25,7,69,58,74,84,51,62,53
2013-03-10,81,75,54,51,56,88,12,75,53,74,64,32,84,50,77,77,41,66,17,62,36,86,70,78,72,60,49,52,74,84,74,78,29,13,64,82,13,61,93,61,76,74,71,64,69,71,57,89,17,50,22,51,55,58,49,27,51,74,37,67,30,46,49,71,65,74,94,21,72,55,45,49,23,62,65,72,36,69,34,58,69,63,64,36,17,58,75,18,10,69,63,76,85,49,65,49
2013-03-17,83,77,63,61,57,81,11,74,48,80,66,32,83,48,79,74,35,67,17,67,38,82,70,76,74,63,49,55,64,84,74,81,27,13,63,84,13,65,90,62,80,69,72,73,70,73,55,85,19,51,21,51,57,56,47,25,53,73,39,69,30,46,50,69,67,75,94,21,72,54,47,48,25,61,65,70,35,69,35,56,69,63,62,37,18,55,68,24,13,69,61,77,82,50,71,49
2013-03-24,81,73,46,62,57,85,10,69,46,72,63,31,82,55,81,69,38,65,17,64,38,83,65,77,65,63,50,53,85,79,72,78,26,15,58,86,17,57,85,63,68,55,67,72,71,74,56,82,18,44,22,53,53,57,51,22,53,75,37,68,28,45,50,84,67,69,89,24,73,55,47,45,81,61,62,72,36,67,39,48,70,63,59,35,16,57,74,22,17,71,60,78,87,55,64,47
2013-03-31,83,73,48,59,58,84,10,72,45,79,65,31,83,46,80,73,38,70,18,67,38,78,65,78,70,63,48,58,77,85,76,81,28,12,61,90,13,100,82,65,73,61,75,74,67,72,54,84,18,46,20,55,52,56,47,22,50,75,39,69,28,47,50,84,64,73,94,23,73,53,56,45,31,61,66,70,35,66,41,55,65,63,61,37,17,55,72,28,23,72,58,80,83,55,74,51
